"Long","Lat"
-73.9884861111,40.7282944444
-73.8844144252,40.8746541571
-73.9911734685,40.6755290192
-73.8351309299,40.6706459457
-73.9428589214,40.7391709183
-73.9396796656,40.7349173958
-73.95032465,40.73906686
-73.94178783,40.73612777
-73.9271214791,40.7264368795
-73.9272089415,40.7972615867
-74.0244,40.75423
-73.9138884,40.88386259
-73.9833666667,40.7256383333
-73.8552483358,40.7604005607
-73.84882786,40.74923636
-73.9919133333,40.7239116667
-73.9681267553,40.7799671078
-73.9399499819,40.715032965
-74.0255195,40.742855
-73.9909833333,40.6755216667
-73.9909364703,40.6755251873
-73.9919804296,40.6756482362
-73.9323475551,40.7280266722
-73.94572502,40.84719502
-73.9879957964,40.684817388
-73.9482277396,40.8169046733
-73.9485150912,40.8168492395
-73.996509743,40.671268687
-73.9483695027,40.8189111206
-73.9280417283,40.6030528341
-73.897112757,40.8448662144
-73.9237361123,40.8703026083
-73.9476986323,40.8194373222
-73.9309999534,40.7120699622
-73.932209462,40.7115455065
-73.9324735758,40.7126278617
-73.9325644356,40.7127559791
-73.9316034504,40.7115113922
-73.9312048071,40.7097526174
-73.9314367343,40.7103072899
-73.9317587671,40.7108935202
-73.9333220758,40.7111757808
-73.9559333333,40.6805283333
-73.947655,40.8194166667
-73.9319463541,40.7122437191
-73.9318874293,40.7124188589
-73.9317037818,40.7126419852
-73.9322501142,40.7131319493
-73.9317439311,40.7127353596
-73.9316653088,40.7133812691
-73.9314136003,40.7127520396
-73.9312806633,40.7129545045
-73.9310132806,40.712948679
-73.9309383464,40.7129801531
-73.9903040138,40.5843766965
-73.9944744297,40.5827675388
-73.9977644105,40.5852562096
-73.9317723457,40.7122861315
-73.9303426071,40.7097257439
-73.9325914253,40.7131612022
-73.9324548841,40.7131491322
-73.93218725,40.713178427
-73.9319772833,40.7132162713
-73.9318265767,40.7132612402
-73.9308532701,40.7141778432
-73.9308244363,40.714204791
-73.9310230036,40.7141605346
-73.9308360872,40.7133121603
-73.930484131,40.7131832047
-73.9304153994,40.7131754514
-73.9320942946,40.7150896686
-73.9762943581,40.7063783772
-73.952338,40.770555
-73.9523590543,40.7704690285
-73.9521820285,40.7707999042
-73.9533950575,40.7715875097
-73.9529619646,40.7718190179
-73.9258003235,40.7610408353
-73.9276885986,40.7597730985
-73.9505726193,40.7691197517
-73.9215,40.8731783333
-73.9556745509,40.6803716527
-73.97608,40.6513116667
-73.8663528273,40.7941101586
-73.9536489454,40.766756977
-73.9320923668,40.7110115374
-73.9651853778,40.5826349371
-73.8795773127,40.8188439673
-73.945415821,40.7736984082
-73.937355,40.7292716667
-73.9372716667,40.729305
-73.9246833333,40.719805
-73.9528754258,40.7385033478
-73.95308204,40.73874889
-73.9531443,40.73879252
-73.9403181151,40.7415178931
-73.944959594,40.7384063211
-73.9448415768,40.7383751823
-73.9452055556,40.74615
-73.9384083333,40.7441305556
-73.998096753,40.7307267795
-73.8899904863,40.6898056996
-73.9322717395,40.729639479
-73.9315766283,40.7294663508
-73.9318061248,40.7291188371
-73.9322962985,40.7295084279
-73.9324817062,40.7296610624
-73.9325057623,40.7296571229
-73.9324449935,40.7296740543
-73.96461281,40.8135187766
-73.94993916,40.83506583
-73.9522274584,40.7713341667
-73.9240584803,40.7236755453
